Incident ID,Incident Date,State,City Or County,Address,# Victims Injured,# Victims Killed,# Subjects-Suspects Injured,# Subjects-Suspects Killed,# Subjects-Suspects Arrested,Operations
2105096,31-Aug-21,California,Fresno,Tulare St and Pottle Ave,1,0,0,0,0,N/A
2105023,31-Aug-21,New York,Bronx,1476 Walton Ave,0,1,0,0,0,N/A
2104927,31-Aug-21,West Virginia,Clarksburg,1320 Nutter St,0,0,1,0,1,N/A
2105054,31-Aug-21,Washington,Seattle,3rd Ave and Yesler Way,1,0,0,0,0,N/A
2105032,31-Aug-21,New York,Bronx,Jennings Ave and Prospect Ave,2,0,0,0,0,N/A
2104970,31-Aug-21,New York,Corona (Queens),N/A,1,0,0,0,0,N/A
2104775,31-Aug-21,North Carolina,Kannapolis,900 block of Packard Ave,0,1,0,0,1,N/A
2105100,31-Aug-21,California,Salinas,Maryal Dr and East Bernal Dr,0,2,0,0,0,N/A
2105186,31-Aug-21,New York,Syracuse,1808 Lodi St,0,0,0,1,0,N/A
2105883,31-Aug-21,Delaware,New Castle,100 block of Freedom Trail,0,1,0,0,0,N/A
2104995,31-Aug-21,New York,Brooklyn,140 Hamilton Ave,1,0,0,0,0,N/A
2104952,31-Aug-21,Mississippi,Aberdeen,Gettis Rd,1,0,0,0,1,N/A
2104991,31-Aug-21,New York,Brooklyn,2015 Dorchester Rd,1,0,0,0,0,N/A
2105721,31-Aug-21,South Carolina,West Columbia,900 block of Mohawk Dr,1,0,0,0,1,N/A
2105297,31-Aug-21,Utah,Salt Lake City,700 E and 900 S,1,0,0,0,1,N/A
2105072,31-Aug-21,District of Columbia,Washington,1500 block of Howard Rd SE,3,0,0,0,0,N/A
2104959,31-Aug-21,Nebraska,Omaha,Evans St and N 25th Ave,1,0,0,0,0,N/A
2104944,31-Aug-21,Nebraska,Omaha,3110 Tucker St,1,0,0,0,0,N/A
2105711,31-Aug-21,Georgia,Atlanta,2516 Martin Luther King Jr Dr SW,1,0,0,0,0,N/A
2104722,31-Aug-21,North Carolina,Newport,212 Bobbys Dr,0,1,0,1,0,N/A
2105705,31-Aug-21,Georgia,Atlanta,895 Joseph E Boone Blvd NW,1,0,0,0,0,N/A
2107971,31-Aug-21,Pennsylvania,Reading,50 block of S 10th St,2,0,0,0,0,N/A
2105451,31-Aug-21,Tennessee,Greeneville,520 Pates Ln,0,0,0,0,1,N/A
2104932,31-Aug-21,Alabama,Atmore,1421 S Main St,0,0,0,0,0,N/A
2106445,31-Aug-21,Alabama,Mobile,5441 US-90,0,0,0,0,1,N/A
2104893,31-Aug-21,District of Columbia,Washington,300 block of 50th St NE,1,0,0,0,0,N/A
2104890,31-Aug-21,Illinois,Chicago,600 block of W 61st St,1,0,0,0,0,N/A
2104886,31-Aug-21,Ohio,Cleveland,3700 block of Newark Ave,1,0,0,0,0,N/A
2104885,31-Aug-21,Virginia,Roanoke,601 Orange Ave NE,0,0,0,0,0,N/A
2105673,31-Aug-21,California,Stanton,Starr St and Beach Blvd,1,0,0,0,0,N/A
2104661,31-Aug-21,Alabama,Pelham,700 block of Co Rd 72,1,1,0,0,1,N/A
2104840,31-Aug-21,Tennessee,Nashville,616 17th Ave N,0,0,0,0,1,N/A
2104826,31-Aug-21,Maryland,Baltimore,50 block of S Payson St,1,0,0,0,0,N/A
2105028,31-Aug-21,New York,Corona (Queens),102-33 184th St,0,1,0,0,3,N/A
2105647,31-Aug-21,California,Oakland,5300 block of Telegraph Ave,1,0,0,0,0,N/A
2104790,31-Aug-21,Maryland,Severna Park,Jumpers Hole Rd and Ritchie Hwy,1,0,0,0,0,N/A
2105627,31-Aug-21,Georgia,Augusta,3866 Mike Padgett Hwy,0,1,0,0,1,N/A
2104906,31-Aug-21,District of Columbia,Washington,2900 block of Knox Pl SE,1,0,0,0,0,N/A
2110301,31-Aug-21,North Carolina,Lumberton,3801 Fayetteville Rd,1,0,0,0,1,N/A
2104794,31-Aug-21,Missouri,Saint Peters,4105 N Cloverleaf Dr,2,0,0,0,1,N/A
2104772,31-Aug-21,Texas,Irving,909 N OConnor Rd,1,0,0,0,0,N/A
2105781,31-Aug-21,Illinois,Fairmont,W Oak Ave and Brassel St,0,1,0,0,1,N/A
2116185,31-Aug-21,North Carolina,Jacksonville,N/A,1,0,0,0,1,N/A
2105600,31-Aug-21,Indiana,Lafayette,2700 block of Old Romney Rd,0,1,0,0,3,N/A
2105502,31-Aug-21,Tennessee,Memphis,Burtonwood Cove,0,0,0,0,0,N/A
2105734,31-Aug-21,South Carolina,Rock Hill,300 block of Heckle Blvd,0,1,0,0,0,N/A
2105583,31-Aug-21,Georgia,Valdosta,700 block of E Park Ave,1,0,0,0,1,N/A
2105572,31-Aug-21,New York,New York (Manhattan),2360 1st Ave,1,0,0,0,0,N/A
2105790,31-Aug-21,Illinois,Rockford,650 W State St,0,0,0,0,0,N/A
2104733,31-Aug-21,North Carolina,Greensboro,Stockton Way,0,1,0,0,1,N/A
2105611,31-Aug-21,Indiana,Fort Wayne,4200 block of S Monroe St,0,1,0,0,1,N/A
2106289,31-Aug-21,Wisconsin,Milwaukee,2230 N Bremen St,0,0,0,0,0,N/A
2104979,31-Aug-21,New York,Brooklyn,E 49th St and Church Ave,1,0,0,0,0,N/A
2104966,31-Aug-21,New York,Brooklyn,W 33rd St and Neptune Ave,1,0,0,0,0,N/A
2104972,31-Aug-21,New York,Corona (Queens),109th Ave and Union Hall St,2,0,0,0,0,N/A
2105143,31-Aug-21,Pennsylvania,Philadelphia,5100 block of Marion St,0,1,0,0,0,N/A
2104715,31-Aug-21,Texas,San Antonio,500 block of Gembler Rd,1,0,0,0,0,N/A
2104475,31-Aug-21,Massachusetts,Springfield,Gilman St,1,0,0,0,1,N/A
2104708,31-Aug-21,Texas,Plano,W Spring Creek Pkwy and Green Oaks Dr,0,0,1,0,0,N/A
2105956,31-Aug-21,Washington,Bonney Lake,3200 block of 214th Ave E,0,0,0,1,0,N/A
2104700,31-Aug-21,Texas,Texas City,Strom Rd and FM 517,0,0,1,0,0,N/A
2104731,31-Aug-21,Texas,Houston,14335 Ella Blvd,1,0,0,0,0,N/A
2104698,31-Aug-21,Indiana,Indianapolis,722 E County Line Rd,0,0,0,0,1,N/A
2105514,31-Aug-21,Tennessee,Memphis,3419 American Way,1,0,0,0,0,N/A
2105507,31-Aug-21,Tennessee,Memphis,3371 Lamar Ave,1,0,0,0,0,N/A
2104693,31-Aug-21,Indiana,New Albany,600 block of Woodrow Ave,2,0,0,0,0,N/A
2104985,31-Aug-21,New York,Bronx,805 Taylor Ave,0,2,0,0,1,N/A
2105165,31-Aug-21,Arizona,Mesa,Loop 202,0,0,0,1,0,N/A
2105001,31-Aug-21,Hawaii,Honolulu,1812 Kalakaua Ave,0,1,0,1,0,N/A
2105488,31-Aug-21,Iowa,Martelle,23966 42nd St,0,0,0,1,0,N/A
2105498,31-Aug-21,Tennessee,Memphis,300 block of Haynes St,1,0,0,0,0,N/A
2105749,31-Aug-21,California,Palo Alto (East Palo Alto),100 block of Jasmine Way,0,1,0,0,0,N/A
2105482,31-Aug-21,Colorado,Greeley,400 block of N 11th Ave,0,0,0,0,0,N/A
2105418,31-Aug-21,Tennessee,Memphis,4138 Kirby Pkwy,1,1,0,0,0,N/A
2105429,31-Aug-21,Mississippi,Jackson,1013 Bailey Ave,1,0,0,0,0,N/A
2105043,31-Aug-21,California,San Francisco,Silver Ave and San Bruno Ave,0,1,0,0,0,N/A
2104651,31-Aug-21,Massachusetts,Boston,Rosedale St,1,0,0,0,1,N/A
2104430,31-Aug-21,Washington,Seattle,1000 block of E John St,0,0,0,1,0,N/A
2104717,31-Aug-21,Texas,Abilene,965 E South 11th St,0,1,0,0,1,N/A
2104646,31-Aug-21,California,San Jose,1000 block of Sundown Lane,1,0,0,0,0,N/A
2105405,31-Aug-21,Illinois,Chicago,5800 block of N Spaulding Ave,1,0,0,0,0,N/A
2105625,31-Aug-21,California,Bakersfield,700 block of Hill St,0,1,0,0,0,N/A
2106212,31-Aug-21,California,Pasadena,1300 block of N Navarro Ave,1,0,0,0,0,N/A
2104634,31-Aug-21,California,San Diego,CA-94,1,0,0,0,0,N/A
2104628,31-Aug-21,California,San Diego,I-805,1,0,0,0,0,N/A
2105103,31-Aug-21,California,Anaheim,2400 block of West Greenleaf Ave,0,1,0,1,0,N/A
2107694,31-Aug-21,California,San Francisco,Grove St and Cole St,0,0,0,0,1,N/A
2105384,31-Aug-21,Louisiana,Baton Rouge,1300 block of Marque Ann,2,0,0,0,0,N/A
2105475,31-Aug-21,Texas,Houston,5520 Cavalcade St,0,0,0,1,0,N/A
2104602,31-Aug-21,Georgia,Columbus,5500 Block of Warm Springs Rd,1,0,0,0,0,N/A
2105730,31-Aug-21,Louisiana,New Orleans,I-10 and Elysian Field Ave,1,0,0,0,0,N/A
2104586,31-Aug-21,Georgia,Columbus,1500 block of Floyd Rd,1,0,0,0,0,N/A
2105172,31-Aug-21,Michigan,Detroit,14000 block of Ilene St,1,0,0,0,0,N/A
2104820,31-Aug-21,Illinois,Chicago,I-57 and W 111th St,1,0,0,0,0,N/A
2105308,31-Aug-21,Connecticut,New Haven,Whalley Ave,1,0,0,0,0,N/A
2105284,31-Aug-21,Connecticut,Hartford,9 Hazel St,2,0,0,0,0,N/A
2105278,31-Aug-21,Connecticut,Hartford,31 Gillette St,1,0,0,0,0,N/A
2104554,31-Aug-21,Georgia,Jonesboro,681 Flint River Rd,2,0,0,0,0,N/A
2104547,31-Aug-21,Illinois,Chicago,4009 Lexington St,1,0,0,0,0,N/A
2105606,31-Aug-21,Indiana,Fremont,100 block of Baum St,0,1,0,0,1,N/A
2105598,31-Aug-21,Georgia,Forest Park,220 Morrow Rd,0,1,0,0,0,N/A
2108348,31-Aug-21,New Mexico,Portales,2300 block of S Roosevelt Rd 6,1,0,0,0,1,N/A
2105574,31-Aug-21,Indiana,Indianapolis,1200 block of W 32nd St,0,1,0,0,0,N/A
2114013,31-Aug-21,Pennsylvania,Philadelphia,100 block of S 62nd St,1,0,0,0,0,N/A
2104606,31-Aug-21,Connecticut,Bridgeport,100 block of Park St,0,0,0,0,3,N/A
2105465,31-Aug-21,Florida,Bradenton,600 Block of 21st Rd E,1,0,0,0,2,N/A
2105174,31-Aug-21,Michigan,Detroit,13200 block of Hubbell Ave,1,0,0,0,0,N/A
2105328,31-Aug-21,Florida,Pensacola,Star Cir and Massachusetts Ave,1,0,0,0,1,N/A
2104829,31-Aug-21,Maryland,Baltimore,1700 block of Patterson Park Ave,1,1,0,0,2,N/A
2105949,31-Aug-21,Oregon,Lebanon,2200 block of Chelsea Way,0,0,0,0,1,N/A
2105060,31-Aug-21,Washington,Seattle,2300 block of N 65th St,1,0,0,0,0,N/A
2105911,31-Aug-21,New Jersey,Paterson,454 Union Ave,0,1,0,0,1,N/A
2108139,31-Aug-21,New Jersey,Newark,15th Ave and S 15th St,0,1,0,0,0,N/A
2105914,31-Aug-21,New Jersey,Elizabeth,1085 Grand St,1,0,0,0,0,N/A
2105931,31-Aug-21,New York,Poughkeepsie,N Clinton St,1,0,0,0,0,N/A
2104846,31-Aug-21,District of Columbia,Washington,1400 block of V St NW,1,0,0,1,0,N/A
2105929,31-Aug-21,New York,Poughkeepsie,51 Lent St,1,0,0,0,0,N/A
2105715,31-Aug-21,South Carolina,Charleston,100 block of N Romney St,0,1,0,0,1,N/A
2105155,31-Aug-21,Pennsylvania,Pittsburgh,6200 block of Penn Ave,1,0,0,0,1,N/A
2105917,31-Aug-21,New Jersey,Jersey City,47 Rutgers Ave,1,0,0,0,0,N/A
2106678,31-Aug-21,Ohio,Columbus,1000 Block of E 20th St,1,0,0,0,0,N/A
2106675,31-Aug-21,Ohio,Columbus,3000 Block of Astor Ave,1,0,0,0,0,N/A
2105390,31-Aug-21,Tennessee,Memphis,1891 Kansas St,0,1,0,0,1,N/A
2117953,31-Aug-21,Tennessee,Madison,1400 Gallatin Pike N,1,0,0,0,1,N/A
2105149,31-Aug-21,Pennsylvania,Philadelphia,S 62nd St and Chestnut St,1,0,0,0,0,N/A
2106648,31-Aug-21,Arkansas,Magnolia,N/A,1,0,0,0,1,N/A
2105147,31-Aug-21,Illinois,Chicago,E 43rd St and S Evans Ave,1,0,0,0,0,N/A
2105785,31-Aug-21,Ohio,Toledo,3300 block of Maple St,1,0,0,0,0,N/A
2105897,31-Aug-21,Pennsylvania,Chester,Engle St and W 3rd St,0,1,0,0,0,N/A
2105145,31-Aug-21,Illinois,Chicago,7900 block of Kingston Ave,1,0,0,0,0,N/A
2105894,31-Aug-21,Pennsylvania,Philadelphia,800 block of N Fallon St,1,0,0,0,0,N/A
2105873,31-Aug-21,Oregon,Portland,NE 13th Avenue and Multnomah St,1,0,0,0,0,N/A
2106591,31-Aug-21,Louisiana,Campti,100 block of Lake St,0,1,0,0,0,N/A
2104550,31-Aug-21,Illinois,Chicago,54 W Cermak Rd,1,0,0,0,0,N/A
