Name,Description,Introduced Date,Passed House,Passed Senate,Public Law No
S.Res.242,"A resolution expressing support for the designation of June 4, 2021, as ""National Gun Violence Awareness Day"" and June 2021 as ""National Gun Violence Awareness Month"".",05/26/2021,,,
H.R.1454,"This bill broadens the definition of firearm for purposes of federal firearms laws. Specifically, it includes as a firearm any combination of parts designed or intended to be used to convert a device into a firearm and from which a firearm may be readily assembled.",03/01/2021,,,
H.Res.437,"Expressing support for the designation of June 4, 2021, as ""National Gun Violence Awareness Day"" and June 2021 as ""National Gun Violence Awareness Month"".",05/25/2021,,,
H.R.1560,Resources for Victims of Gun Violence Act of 2021,03/03/2021,,,
H.R.3159,Safer Neighborhoods Gun Buyback Act of 2021,05/12/2021,,,
H.R.1576,National Gun Violence Research Act,03/03/2021,,,
S.974,Gun Records Restoration and Preservation Act,03/25/2021,,,
S.1338,Equal Access to Justice for Victims of Gun Violence Act,04/22/2021,,,
S.2320,Keeping Gun Dealers Honest Act of 2021,07/13/2021,,,
S.2319,3D Printed Gun Safety Act of 2021,07/13/2021,,,
H.R.4225,3D Printed Gun Safety Act of 2021,06/29/2021,,,
H.R.1827,Gun Owner Registration Information Protection Act,03/11/2021,,,
S.702,Gun Owner Registration Information Protection Act,03/11/2021,,,
S.1155,Virginia Plan to Reduce Gun Violence Act of 2021,04/15/2021,,,
S.1801,Crime Gun Tracing Modernization Act of 2021,05/25/2021,,,
H.R.3509,Safe Gun Storage Act of 2021,05/25/2021,,,
S.1825,Safe Gun Storage Act of 2021,05/25/2021,,,
H.R.3143,Buyback Our Safety Act,05/12/2021,,,
S.788,Firearms Safety Act,03/17/2021,,,
H.R.1534,Protecting the Right to Keep and Bear Arms Act of 2021,03/03/2021,,,
S.1916,Protecting the Right To Keep and Bear Arms Act of 2021,05/27/2021,,,
S.1558,Untraceable Firearms Act of 2021,05/11/2021,,,
H.R.1494,Zero Tolerance for Domestic Abusers Act,03/02/2021,,,
H.Res.275,"Condemning the horrific shootings in Atlanta, Georgia, on March 16, 2021, and reaffirming the House of Representative’s commitment to combating hate, bigotry, and violence against the Asian-American and Pacific Islander community.",03/26/2021,05/19/2021,,
S.527,Protecting Domestic Violence and Stalking Victims Act of 2021,03/02/2021,,,
S.Res.199,"A resolution condemning the horrific shootings in Atlanta, Georgia, on March 16, 2021, and reaffirming the commitment of the Senate to combating hate, bigotry, and violence against the Asian American and Pacific Islander community.",04/29/2021,,04/29/2021,
H.R.1952,Stopping the Iron Pipeline Act of 2021,03/16/2021,,,
H.R.1808,Assault Weapons Ban of 2022,03/11/2021,07/29/2022,,
H.R.8,Bipartisan Background Checks Act of 2021,03/01/2021,03/11/2021,,
S.Res.140,"A resolution condemning the horrific shootings in Atlanta, Georgia, on March 16, 2021, and reaffirming the commitment of the Senate to combating hate, bigotry, and violence against the Asian-American and Pacific Islander community.",03/25/2021,,,
S.736,Assault Weapons Ban of 2021,03/11/2021,,,
H.R.4118,Break the Cycle of Violence Act,06/24/2021,09/22/2022,,
H.R.5035,Child Suicide Prevention and Lethal Means Safety Act,08/13/2021,,,
S.2275,Break the Cycle of Violence Act,06/24/2021,,,
S.1775,Protecting Communities and Preserving the Second Amendment Act of 2021,05/20/2021,,,
S.591,Background Check Completion Act of 2021,03/04/2021,,,
H.R.1961,ATF Accountability Act of 2021,03/17/2021,,,
S.1920,ATF Accountability Act of 2021,05/27/2021,,,
S.1373,SAME Act,04/27/2021,,,
H.R.1787,Ensuring Second Amendment Freedoms are Executed Timely Act,03/11/2021,,,
H.R.1782,Empowering Law Enforcement for Safer Firearm Transfers Act of 2021,03/10/2021,,,
S.529,Background Check Completion Act,03/02/2021,,,
S.2169,Lori Jackson-Nicolette Elias Domestic Violence Survivor Protection Act,06/22/2021,,,
S.525,Lawful Interstate Transportation of Firearms Act,03/02/2021,,,
H.R.3432,School Safety Drill Research Act of 2021,05/20/2021,,,
H.R.1680,Lawful Interstate Transportation of Firearms Act,03/09/2021,,,
H.R.1446,Enhanced Background Checks Act of 2021,03/01/2021,03/11/2021,,
S.1872,United States Army Rangers Veterans of World War II Congressional Gold Medal Act,05/27/2021,,,117-132 (06/07/2022)
H.Res.403,"Providing for consideration of the bill (H.R. 1629) to amend the Federal Food, Drug, and Cosmetic Act with respect to limitations on exclusive approval or licensure of orphan drugs, and for other purposes; providing for consideration of the resolution (H. Res. 275) condemning the horrific shootings in Atlanta, Georgia, on March 16, 2021, and reaffirming the House of Representative's commitment to combating hate, bigotry, and violence against the Asian-American and Pacific Islander community; and for other purposes.",05/17/2021,05/18/2021,,
S.1101,SHUSH Act,04/13/2021,,,
H.R.1691,Second Amendment Protection Act,03/09/2021,,,
S.1610,LEOSA Reform Act,05/13/2021,,,
H.R.1604,STOP Straw Purchases Act,03/08/2021,,,
