"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
1944835,"March 4, 2021","New York",Buffalo,"Jefferson Ave and S Division St",0,0,0,0,0,N/A
1945250,"March 4, 2021",Missouri,"Kansas City (Raytown)","E 81st St and Elm Ave",1,0,0,0,0,N/A
1944867,"March 4, 2021",Pennsylvania,Trafford,"500 block of 5th St Ext",0,1,0,0,1,N/A
1945260,"March 4, 2021",Connecticut,"New Haven","50 block of Townsend St",2,0,0,0,0,N/A
1944821,"March 4, 2021",Tennessee,Chattanooga,"4500 block of N Access Rd",1,0,0,0,0,N/A
1945256,"March 4, 2021",Missouri,"Kansas City","3300 block of Montgall Ave",0,1,0,0,0,N/A
1945716,"March 4, 2021",Virginia,Mechanicsville,"8000 block of Bell Creek Rd",0,1,0,0,1,N/A
1944815,"March 4, 2021",Tennessee,Chattanooga,"3200 block of Through St",1,0,0,0,0,N/A
1944761,"March 4, 2021",Ohio,Cleveland,"3800 block of W 40th St",1,0,0,0,0,N/A
1944721,"March 4, 2021","New York","Staten Island","645 Wilson Ave",0,0,0,0,0,N/A
1945018,"March 4, 2021",Maryland,Baltimore,"2000 block of W Pratt St",0,1,0,0,0,N/A
1944730,"March 4, 2021","New York",Bronx,"2180 Wallace Ave",1,0,0,0,0,N/A
1944722,"March 4, 2021","New York",Bronx,"785 Courtlandt Ave",1,0,0,0,0,N/A
1944717,"March 4, 2021","New York",Brooklyn,"Crescent St and Linden Blvd",1,0,0,0,0,N/A
1946515,"March 4, 2021",Arkansas,Lowell,"100 block of N Michael St",0,0,0,0,1,N/A
1946415,"March 4, 2021",Texas,Euless,"13900 Trinity Blvd",1,0,0,0,0,N/A
1944961,"March 4, 2021",Virginia,Woodbridge,"16551 River Ridge Blvd",1,0,0,0,0,N/A
1944727,"March 4, 2021","New York","Staten Island","194 Bay St",0,1,0,0,1,N/A
1946458,"March 4, 2021",Virginia,Tappahannock,"705 Marsh St",0,1,0,0,1,N/A
1944670,"March 4, 2021",Virginia,Fredericksburg,"Heron Dr",1,0,0,0,0,N/A
1947129,"March 4, 2021",Pennsylvania,Philadelphia,"1000 block of Evarts St",0,0,0,0,1,N/A
