Incident ID,Incident Date,State,City Or County,Address,# Victims Injured,# Victims Killed,# Subjects-Suspects Injured,# Subjects-Suspects Killed,# Subjects-Suspects Arrested,Operations
1993651,3-May-21,Alabama,Huntsville,10012 S Memorial Pkwy,1,0,0,0,1,N/A
1994101,3-May-21,Louisiana,New Orleans,3700 block of Ulloa St,1,0,0,0,0,N/A
1995096,3-May-21,Oklahoma,Oklahoma City,7201 NW 122nd St,0,1,0,0,1,N/A
1994091,3-May-21,Louisiana,New Orleans,6700 block of Cindy Pl,1,0,0,0,0,N/A
1995088,3-May-21,Iowa,Council Bluffs,2200 River Rd,1,0,0,0,0,N/A
1996055,3-May-21,Florida,Sarasota,Goodrich Ave and Dr Martin Luther King Way,1,0,0,0,1,N/A
1994058,3-May-21,Texas,Jacksonville,500 block of Myrtle Dr,0,1,0,0,1,N/A
1994056,3-May-21,Kansas,Wichita,E Orme St and S Oliver St,0,0,1,0,0,N/A
1993870,3-May-21,Virginia,Hampton,651 Aberdeen Rd,0,1,0,0,0,N/A
1995039,3-May-21,Kansas,Wichita,2100 block of S Meridian Ave,0,1,0,0,0,N/A
1997012,3-May-21,Georgia,Newnan,Green Park Way and Howard Hughes Rd,0,0,0,0,1,N/A
1994048,3-May-21,Illinois,Chicago,7800 block of S South Shore Dr,0,1,0,0,0,N/A
1995160,3-May-21,Pennsylvania,York,300 block of Smyser St,0,1,0,0,6,N/A
1994978,3-May-21,Texas,Houston,16303 Imperial Valley Dr,1,0,0,0,0,N/A
1994973,3-May-21,Indiana,Indianapolis,1200 block of Congress Ave,0,1,0,0,0,N/A
1999699,3-May-21,Texas,Corpus Christi,Buccaneer Dr,0,1,0,0,1,N/A
1994017,3-May-21,District of Columbia,Washington,3100 block of Buena Vista Terrace SE,1,0,0,0,0,N/A
1994011,3-May-21,Maryland,Baltimore,500 block of Gorsuch Ave,2,0,0,0,0,N/A
1993779,3-May-21,Ohio,Cincinnati (Sharonville),2225 E Sharon Rd,0,1,0,0,0,N/A
1994001,3-May-21,New York,Brooklyn,606 Snediker Ave,1,0,0,0,0,N/A
1994611,3-May-21,Tennessee,Knoxville,400 block of S Hembree St,0,1,0,0,0,N/A
1994093,3-May-21,Colorado,Denver,2700 block of N Zuni St,0,1,0,0,1,N/A
1993970,3-May-21,Texas,Houston,6000 block of Sayers St,1,0,0,0,0,N/A
1997973,3-May-21,Kansas,Delaware,KS-5 and Tontine Rd,0,0,0,0,0,N/A
1993798,3-May-21,Missouri,Reeds Spring (Branson West),18128 MO-13,1,0,1,0,1,N/A
1993997,3-May-21,Virginia,Mc Lean,1000 Colonial Farm Rd,0,1,0,0,0,N/A
1994814,3-May-21,North Carolina,High Point,Arch St and E Green Dr,2,0,0,0,0,N/A
1993310,3-May-21,Wisconsin,Milwaukee,3806 N 53rd St,0,1,0,0,0,N/A
1993902,3-May-21,Texas,Houston,8601 Southwest Fwy,0,0,0,0,1,N/A
1993786,3-May-21,Iowa,Cedar Rapids,3700 block of Blairs Ferry Rd NE,1,0,0,0,1,N/A
1993455,3-May-21,California,Los Angeles,4209 W Washington Blvd,1,2,0,0,0,N/A
1994777,3-May-21,South Carolina,Anderson,Diamond St,0,1,0,0,0,N/A
1994873,3-May-21,Nevada,North Las Vegas,2300 block of Daley St,0,1,0,0,0,N/A
1994625,3-May-21,Tennessee,Chattanooga,2600 4th Ave,1,0,0,0,1,N/A
2012097,3-May-21,Iowa,Waterloo,2034 La Porte Rd,0,0,0,0,2,N/A
1995880,3-May-21,North Carolina,Cherryville,218 Heather Ln,1,0,0,0,1,N/A
1996473,3-May-21,Indiana,Greenwood,1700 block of Blue Grass Pkwy,0,0,0,0,1,N/A
1993794,3-May-21,Pennsylvania,Bethel Park,309 Church Rd,0,0,0,0,1,N/A
1993374,3-May-21,New York,Rochester,9 Cameron St,0,1,0,0,1,N/A
1993716,3-May-21,Maryland,Baltimore,600 block of N Fremont Ave,1,1,0,0,0,N/A
1993551,3-May-21,Michigan,Saginaw,1315 Randolph St,4,1,0,0,0,N/A
1994713,3-May-21,Michigan,Detroit,N/A,1,0,0,0,0,N/A
1994562,3-May-21,Illinois,Chicago,7042 S Throop St,2,0,0,0,0,N/A
1995818,3-May-21,Illinois,Marshall,I-70,0,0,0,1,0,N/A
1996661,3-May-21,Alaska,Anchorage,6400 block of E 8th Ave,0,0,0,0,1,N/A
1993762,3-May-21,Missouri,Saint Louis,4100 block of Manchester Ave,1,0,0,0,0,N/A
1995779,3-May-21,South Carolina,Vance,Gatlin St,0,0,0,0,1,N/A
2029772,3-May-21,Maryland,Charlotte Hall,Poplar St,0,0,0,0,1,N/A
1994677,3-May-21,Georgia,Atlanta,2300 block of Metropolitan Pkwy,1,0,0,0,0,N/A
1993540,3-May-21,Maryland,Baltimore,2800 block of Clifton Park Terrace,0,1,0,0,1,N/A
1994234,3-May-21,Virginia,Petersburg,Jean Ct,1,0,0,0,0,N/A
1996647,3-May-21,California,San Rafael,Windward Way,0,1,0,0,1,N/A
2010974,3-May-21,Wisconsin,Oak Creek,7385 S Chapel Dr,0,1,0,0,0,N/A
1993675,3-May-21,Maryland,Greenbelt,6411 Ivy Ln,3,0,0,0,0,N/A
1993686,3-May-21,California,Bakersfield,Niles St and Haley St,2,0,0,0,0,N/A
1994770,3-May-21,New York,Albany,Essex St and Rawson St,0,1,0,0,2,N/A
1993523,3-May-21,Maryland,Baltimore,3700 block of Fords Ln,0,1,0,0,3,N/A
1993681,3-May-21,Michigan,Grand Rapids,1043 Franklin St SE,1,0,0,0,0,N/A
1993679,3-May-21,Michigan,Grand Rapids,Kalamazoo Ave SE and Hall St SE,1,0,0,0,0,N/A
1994866,3-May-21,Colorado,Swink,W 3rd St,0,0,0,0,4,N/A
2457079,3-May-21,Indiana,Gary,3100 block of W 15th Ave,0,1,0,0,1,N/A
1995004,3-May-21,Texas,Edinburg,12000 block of Avenida Dulce,0,1,0,0,1,N/A
1994560,3-May-21,Minnesota,Minneapolis (Plymouth),Hwy 55 and Peony Ln N,0,0,0,0,1,N/A
1994571,3-May-21,California,Los Angeles,1700 block of Industrial Way,1,0,0,0,0,N/A
1994569,3-May-21,Illinois,Chicago,N/A,1,0,0,0,0,N/A
1993615,3-May-21,Michigan,Detroit,5700 block of Cadillac Ave,1,0,0,0,0,N/A
1993381,3-May-21,New York,Rochester,8th St and Bay St,1,0,0,0,0,N/A
1993570,3-May-21,California,San Leandro,15000 block of Crosby St,0,1,0,1,0,N/A
1993557,3-May-21,North Carolina,Wilmington,Queen St,1,0,0,0,0,N/A
1994733,3-May-21,Georgia,Moultrie,200 Block of Talmadge Dr,1,0,0,0,1,N/A
1996454,3-May-21,New Mexico,Las Cruces,571 Walton Blvd,0,0,0,0,0,N/A
1995560,3-May-21,Maryland,Cambridge,700 block of Alex Way,0,0,0,0,0,N/A
1995561,3-May-21,Maryland,Cambridge,Leonards Ln and Cosby Ave,0,0,0,0,0,N/A
1993531,3-May-21,Maryland,Baltimore,3700 block of Hayward Ave,1,0,0,0,0,N/A
1995551,3-May-21,Delaware,Harrington,Mill St,0,0,0,0,3,N/A
1995547,3-May-21,Michigan,Traverse City,N/A,0,0,0,0,1,N/A
