submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
03/02/2021,Hawaii,27532,,,33,0.0,436,,,0,0.0,03/03/2021 03:20:17 PM,Not agree,Not agree
03/02/2021,Utah,371979,371979.0,0.0,487,0.0,1949,1893.0,56.0,9,0.0,03/03/2021 03:20:17 PM,Agree,Agree
03/02/2021,Florida,1885280,,,4394,1281.0,32337,,,73,5.0,03/02/2021 12:00:00 AM,Not agree,Not agree
03/02/2021,Ohio,970583,831329.0,139254.0,1709,662.0,17189,17189.0,0.0,-157,-2594.0,03/03/2021 03:20:17 PM,Agree,Agree
03/02/2021,New York,924361,,,2683,0.0,18064,,,33,0.0,03/03/2021 03:20:17 PM,Not agree,Not agree
03/02/2021,Massachusetts,582844,551667.0,31177.0,301,184.0,16303,15972.0,331.0,31,1.0,03/04/2021 12:00:00 AM,Agree,Agree
03/02/2021,Indiana,663701,,,550,0.0,12587,12197.0,390.0,27,1.0,03/02/2021 12:00:00 AM,Not agree,Agree
03/02/2021,West Virginia,132184,105593.0,26591.0,136,7.0,2301,,,1,1.0,03/03/2021 03:20:17 PM,Agree,Not agree
03/02/2021,Mississippi,297487,184447.0,113040.0,342,165.0,7048,4905.0,2143.0,7,3.0,03/04/2021 12:00:00 AM,Agree,Agree
03/02/2021,Alaska,56523,,,125,0.0,326,,,1,0.0,03/02/2021 12:00:00 AM,,
03/02/2021,New Mexico,185542,,,245,0.0,3624,,,11,0.0,03/04/2021 12:00:00 AM,,Not agree
03/02/2021,Kansas,294302,238803.0,55499.0,0,0.0,4744,,,0,0.0,03/03/2021 03:20:17 PM,Agree,
03/02/2021,Tennessee,768813,645216.0,123597.0,563,204.0,11421,9181.0,2240.0,10,-1.0,03/01/2021 12:00:00 AM,Agree,Agree
03/02/2021,Iowa,337062,,,415,185.0,5498,,,26,26.0,03/03/2021 03:20:17 PM,Not agree,Not agree
03/02/2021,Texas,2655592,,,7747,1966.0,46638,,,100,0.0,03/04/2021 12:00:00 AM,Not agree,Not agree
